"filename", "language", "JSON", "JavaScript", "HTML", "Markdown", "Docker", "Properties", "TypeScript", "TypeScript JSX", "JSON with Comments", "XML", "PostCSS", "comment", "blank", "total"
"/home/nurgalym/Рабочий стол/Baymir/Baimir/frontend/src/components/common/Cart.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 328, 0, 0, 0, 0, 32, 360
"/home/nurgalym/Рабочий стол/Baymir/Baimir/frontend/src/components/common/CartCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 72, 0, 0, 0, 0, 10, 82
"/home/nurgalym/Рабочий стол/Baymir/Baimir/frontend/src/components/common/CategoriesMenu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 204, 0, 0, 0, 0, 29, 233
"/home/nurgalym/Рабочий стол/Baymir/Baimir/frontend/src/components/common/CategoryCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 6, 51
"/home/nurgalym/Рабочий стол/Baymir/Baimir/frontend/src/components/common/Contact.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 238, 0, 0, 0, 10, 38, 286
"/home/nurgalym/Рабочий стол/Baymir/Baimir/frontend/src/components/common/DeferredSection.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 10, 42
"/home/nurgalym/Рабочий стол/Baymir/Baimir/frontend/src/components/common/Drawer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 92, 0, 0, 0, 0, 13, 105
"/home/nurgalym/Рабочий стол/Baymir/Baimir/frontend/src/components/common/LazyImage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 17, 4, 50
"/home/nurgalym/Рабочий стол/Baymir/Baimir/frontend/src/components/common/ProductCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 288, 0, 0, 0, 0, 31, 319
"/home/nurgalym/Рабочий стол/Baymir/Baimir/frontend/src/components/layout/Footer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 163, 0, 0, 0, 31, 27, 221
"/home/nurgalym/Рабочий стол/Baymir/Baimir/frontend/src/components/layout/Header.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 357, 0, 0, 0, 7, 34, 398
"/home/nurgalym/Рабочий стол/Baymir/Baimir/frontend/src/components/layout/Layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 3, 24
"/home/nurgalym/Рабочий стол/Baymir/Baimir/frontend/src/components/ui/PageContainer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 1, 13
"/home/nurgalym/Рабочий стол/Baymir/Baimir/frontend/src/features/cartSlice.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 85, 0, 0, 0, 0, 0, 13, 98
"/home/nurgalym/Рабочий стол/Baymir/Baimir/frontend/src/features/catalogSlice.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 7, 34
"/home/nurgalym/Рабочий стол/Baymir/Baimir/frontend/src/features/compareSlice.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 12, 69
"/home/nurgalym/Рабочий стол/Baymir/Baimir/frontend/src/i18n/index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 66, 0, 0, 0, 0, 4, 15, 85
"/home/nurgalym/Рабочий стол/Baymir/Baimir/frontend/src/index.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 126, 0, 18, 144
"/home/nurgalym/Рабочий стол/Baymir/Baimir/frontend/src/locales/en/en.json", "JSON", 587, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 588
"/home/nurgalym/Рабочий стол/Baymir/Baimir/frontend/src/locales/kz/kz.json", "JSON", 733, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 734
"/home/nurgalym/Рабочий стол/Baymir/Baimir/frontend/src/locales/ru/ru.json", "JSON", 716, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 733
"/home/nurgalym/Рабочий стол/Baymir/Baimir/frontend/src/main.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 2, 6, 32
"/home/nurgalym/Рабочий стол/Baymir/Baimir/frontend/src/pages/About/AboutPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 413, 0, 0, 0, 0, 43, 456
"/home/nurgalym/Рабочий стол/Baymir/Baimir/frontend/src/pages/Blogs/Blog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 181, 0, 0, 0, 0, 30, 211
"/home/nurgalym/Рабочий стол/Baymir/Baimir/frontend/src/pages/Blogs/InnerBlogs/InnerBlog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 604, 0, 0, 0, 0, 58, 662
"/home/nurgalym/Рабочий стол/Baymir/Baimir/frontend/src/pages/Catalog/CatalogPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 187, 0, 0, 0, 16, 26, 229
"/home/nurgalym/Рабочий стол/Baymir/Baimir/frontend/src/pages/Catalog/CategoryPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 531, 0, 0, 0, 3, 62, 596
"/home/nurgalym/Рабочий стол/Baymir/Baimir/frontend/src/pages/Catalog/ProductPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 2550, 0, 0, 0, 1, 209, 2760
"/home/nurgalym/Рабочий стол/Baymir/Baimir/frontend/src/pages/Catalog/components/Breadcrumbs.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 3, 10, 54
